job_id,job_role,industry,country,year,automation_risk_percent,ai_replacement_score,skill_gap_index,salary_before_usd,salary_after_usd,salary_change_percent,skill_demand_growth_percent,remote_feasibility_score,ai_adoption_level,education_requirement_level
152,HR Manager,Retail,India,2026,16.15,15.19,3.32,39429.42,35480.09,-10.02,2.19,61.08,68.95,2
153,HR Manager,Manufacturing,Australia,2021,66.04,58.12,16.75,42548.14,48502.14,13.99,14.25,12.84,93.62,3
154,Software Engineer,Healthcare,Canada,2020,5.0,5.08,70.91,134516.29,146558.1,8.95,11.35,40.55,81.48,1
155,Financial Analyst,Retail,UK,2025,15.61,18.07,54.76,128075.73,154654.79,20.75,-1.89,57.38,73.16,4
156,Data Analyst,Technology,Canada,2023,5.71,4.71,24.71,49145.36,47571.0,-3.2,9.24,97.83,33.69,4
157,Truck Driver,Education,UK,2020,37.75,42.12,65.87,89783.49,105293.97,17.28,9.36,30.56,99.63,3
158,Truck Driver,Finance,India,2023,93.24,98.84,19.95,111627.39,108754.36,-2.57,-11.69,88.14,72.72,4
159,Data Analyst,Technology,UK,2021,51.99,50.44,34.59,74524.65,76197.37,2.24,15.47,49.48,72.53,5
160,HR Manager,Finance,Germany,2020,44.07,50.65,90.07,80606.51,85864.66,6.52,-10.76,92.11,21.07,5
161,Teacher,Manufacturing,Brazil,2023,53.61,56.43,73.31,45788.12,48050.19,4.94,7.61,26.17,23.75,4
162,Truck Driver,Retail,Singapore,2022,93.0,81.13,85.44,89073.34,93915.37,5.44,1.29,50.08,51.48,5
163,Marketing Specialist,Technology,India,2026,35.15,36.45,16.35,76929.78,66969.83,-12.95,16.61,79.61,13.09,2
164,Customer Support Rep,Retail,India,2021,92.89,91.17,23.61,38819.61,39117.83,0.77,-7.83,40.33,82.89,2
165,Accountant,Finance,UK,2020,40.16,36.13,61.71,114813.27,110810.28,-3.49,1.51,13.3,73.64,4
166,Truck Driver,Energy,Canada,2020,71.47,70.74,84.42,126680.42,139732.09,10.3,7.39,28.53,11.19,2
167,HR Manager,Retail,Japan,2020,28.88,23.77,53.12,142392.68,152824.94,7.33,4.19,38.45,50.72,2
168,HR Manager,Manufacturing,Singapore,2020,12.91,11.09,98.66,145814.24,159175.61,9.16,8.46,50.93,51.56,5
169,Customer Support Rep,Healthcare,Canada,2026,59.22,63.17,13.97,33596.83,37319.97,11.08,-5.4,28.17,67.34,2
170,Data Analyst,Technology,UK,2026,67.89,56.87,67.26,83250.03,81662.59,-1.91,7.17,72.34,83.81,3
171,Marketing Specialist,Retail,Japan,2020,76.12,81.7,49.72,104141.67,106235.95,2.01,15.51,12.73,93.09,4
172,HR Manager,Transportation,Canada,2024,58.27,62.38,21.57,109066.26,126881.48,16.33,-6.46,19.59,65.78,5
173,Truck Driver,Energy,India,2024,94.96,77.8,97.72,78828.96,81362.18,3.21,9.22,61.03,73.84,1
174,Teacher,Education,Canada,2020,71.5,68.75,32.7,110111.21,116689.25,5.97,12.01,81.8,43.56,1
175,Customer Support Rep,Technology,Canada,2024,82.25,69.75,54.45,30691.04,27326.46,-10.96,-9.4,45.66,69.55,1
176,Accountant,Energy,Brazil,2025,37.2,36.44,23.75,74790.21,87070.88,16.42,15.1,65.75,46.35,4
177,HR Manager,Healthcare,Singapore,2025,36.59,41.9,51.91,87501.83,75342.81,-13.9,-11.45,62.22,53.36,4
178,Data Analyst,Energy,Australia,2023,42.55,47.06,81.3,116174.77,124991.6,7.59,7.81,31.91,92.7,3
179,Mechanical Engineer,Finance,UK,2022,14.22,16.69,35.16,42170.5,35031.22,-16.93,4.02,35.64,30.73,4
180,Truck Driver,Retail,Singapore,2026,81.21,82.48,31.13,103240.05,93023.13,-9.9,14.41,47.22,12.19,5
181,Software Engineer,Energy,India,2022,12.68,13.6,18.14,93019.61,87425.71,-6.01,8.2,61.06,25.66,3
182,Mechanical Engineer,Finance,Singapore,2026,77.4,76.9,80.6,96027.19,97229.68,1.25,0.71,95.63,60.16,5
183,Software Engineer,Energy,Singapore,2020,57.34,66.16,22.81,55445.38,47668.58,-14.03,22.5,85.59,90.0,2
184,Financial Analyst,Education,Japan,2025,34.74,31.08,78.05,62976.72,61119.23,-2.95,17.48,70.08,9.55,4
185,Software Engineer,Manufacturing,Canada,2024,43.67,42.83,58.66,50161.7,53340.84,6.34,9.14,29.51,9.57,2
186,HR Manager,Energy,Japan,2020,11.65,12.32,60.71,95603.69,90273.86,-5.57,-8.7,63.5,49.68,1
187,Marketing Specialist,Manufacturing,UK,2022,79.14,67.64,69.51,78518.25,91691.27,16.78,-0.54,72.32,99.13,5
188,Software Engineer,Transportation,India,2021,8.99,7.56,72.43,99406.43,95637.66,-3.79,2.96,17.71,89.42,1
189,Truck Driver,Finance,UK,2023,38.43,35.72,22.67,72599.56,72847.0,0.34,-2.7,16.09,80.04,3
190,Financial Analyst,Retail,Singapore,2026,26.36,26.78,88.01,108105.28,86551.95,-19.94,8.74,39.97,66.95,4
191,Truck Driver,Manufacturing,Japan,2024,94.59,100.71,55.78,117678.06,109381.62,-7.05,4.44,60.61,95.76,2
192,Teacher,Manufacturing,Brazil,2025,22.27,23.96,20.09,94299.32,93250.47,-1.11,-4.04,78.05,34.76,2
193,Data Analyst,Retail,Singapore,2022,46.54,52.04,92.72,58157.05,51804.48,-10.92,1.84,99.32,92.7,5
194,HR Manager,Technology,Canada,2025,47.8,54.34,52.1,104830.28,106843.54,1.92,1.91,21.49,82.61,3
195,Marketing Specialist,Energy,UK,2023,64.74,70.15,3.62,66375.4,61158.37,-7.86,-8.31,17.89,93.7,5
196,Truck Driver,Education,Australia,2024,63.77,58.81,39.7,83664.3,86915.32,3.89,29.93,92.75,49.7,5
197,Teacher,Energy,Australia,2026,79.45,90.62,20.85,141671.43,142830.71,0.82,4.01,44.26,87.8,2
198,Customer Support Rep,Transportation,Germany,2026,85.76,96.26,79.0,66561.5,65396.94,-1.75,-2.56,25.62,69.5,4
199,Software Engineer,Education,Japan,2025,24.23,28.84,64.1,128697.67,128375.58,-0.25,13.18,64.56,76.48,4
200,Teacher,Healthcare,Japan,2020,22.24,22.26,39.87,47564.88,44665.74,-6.1,3.13,12.32,13.52,2
201,Financial Analyst,Education,India,2026,77.42,78.95,96.58,81899.75,82427.79,0.64,-14.75,49.56,10.57,4
202,Data Analyst,Energy,USA,2025,44.86,39.76,61.96,108024.13,105718.43,-2.13,19.91,15.23,99.49,2
203,Teacher,Healthcare,India,2023,14.04,15.14,98.37,58701.61,55100.84,-6.13,1.98,72.29,6.23,3
204,Mechanical Engineer,Transportation,India,2026,45.66,54.73,81.4,103826.33,113685.2,9.5,-9.85,57.43,42.61,3
205,Financial Analyst,Transportation,Australia,2025,19.15,22.11,44.98,53354.7,47111.6,-11.7,-13.02,84.48,73.36,4
206,Financial Analyst,Technology,India,2021,63.85,51.36,41.62,87761.3,82967.39,-5.46,8.92,58.18,21.52,3
207,Customer Support Rep,Finance,Singapore,2020,25.85,23.17,97.59,126184.45,125991.27,-0.15,10.79,19.88,54.8,1
208,Truck Driver,Healthcare,Canada,2020,56.81,64.63,9.81,88588.94,84661.95,-4.43,-3.85,76.36,47.6,1
209,Mechanical Engineer,Technology,Canada,2022,36.31,34.78,45.94,124201.99,115891.97,-6.69,15.4,71.93,43.76,3
210,Teacher,Healthcare,Germany,2024,27.83,31.62,3.84,138211.44,168027.91,21.57,-1.06,69.34,89.51,4
211,Marketing Specialist,Healthcare,UK,2021,54.57,57.05,6.67,92208.96,96450.32,4.6,-1.78,56.1,68.02,1
212,Marketing Specialist,Transportation,Germany,2023,12.92,10.77,71.63,38650.12,33443.46,-13.47,-4.72,41.47,77.47,5
213,Accountant,Manufacturing,Japan,2025,56.3,49.21,17.41,41807.48,46764.61,11.86,12.19,33.85,2.09,3
214,Truck Driver,Retail,USA,2026,30.75,36.51,29.54,122306.78,104917.07,-14.22,20.01,28.51,12.14,4
215,HR Manager,Healthcare,India,2023,53.05,58.88,64.39,93636.26,87610.59,-6.44,14.28,98.2,60.19,3
216,Marketing Specialist,Retail,Singapore,2025,50.77,55.81,81.18,108777.43,104807.57,-3.65,-3.39,93.53,22.46,3
217,Truck Driver,Retail,Germany,2023,51.05,49.66,43.94,103552.75,101261.61,-2.21,2.23,89.82,64.58,4
218,Data Analyst,Manufacturing,Singapore,2024,20.01,22.54,86.14,131581.72,129382.7,-1.67,7.83,77.95,46.05,3
219,Marketing Specialist,Retail,Canada,2020,68.94,75.24,77.64,108739.42,110707.84,1.81,-7.97,98.62,93.74,4
220,HR Manager,Technology,USA,2024,13.02,11.28,13.17,117117.59,110926.56,-5.29,10.86,55.53,84.07,4
221,HR Manager,Manufacturing,Australia,2021,61.3,62.33,59.03,91003.27,96149.59,5.66,-12.61,72.0,87.33,2
222,Marketing Specialist,Retail,UK,2025,54.54,60.24,16.01,85386.9,83602.11,-2.09,-3.51,82.01,20.4,1
